categorical,mean_abs_perc_error,median_absolute_error,model,model_adj_r2,model_r2,pred_col
False,2.20373424922009,1545593.751220095,return_turbidity_min,-0.04461660474834672,-0.02372427265337973,
False,2.105909154608211,1320322.1467503123,return_turbidity_max,-0.04342101507623286,-0.02255259477470828,
False,2.184673609348068,1512299.7436323892,return_turbidity_mean,-0.023681727543162223,-0.00320809299229885,
False,2.0813903136669167,1267231.3921161038,return_turbidity_std,-0.03930752550912642,-0.018521374998943907,
False,2.133690578893804,1333638.8033390949,return_turbidity_last_five_mean,-0.06728710950327721,-0.045941367313211634,
False,2.061767371684947,1427281.990025748,return_flow_min,-0.03134350708917566,-0.01071663694739211,
False,2.223070009489533,1430724.0878101857,return_flow_max,-0.01955991385301359,0.0008312844240467854,
False,1.6722086655752406,870407.6225841776,return_flow_mean,-0.002724571041393453,0.017329920379434482,
False,2.0439099038534376,1525420.7861931105,return_flow_std,-0.012980083971536605,0.007279517707894256,
False,1.7575592309073114,923129.3954833506,return_flow_last_five_mean,-0.01057141263434902,0.00964001561833805,
False,2.221021437245538,1380290.9926739186,tank_level_pre_rinse_min,-0.04502589647761068,-0.024125378548058407,
False,2.148590791327681,1482709.5063722301,tank_level_pre_rinse_max,-0.02036088656606916,4.633116525221137e-05,
False,2.2064659194257925,1479173.3789259708,tank_level_pre_rinse_mean,-0.03312757916054898,-0.012465027577337917,
False,2.1862524087395623,1288461.0480328705,tank_level_pre_rinse_std,-0.04553395344222344,-0.024623274373378967,
False,2.2120082512649777,1502638.918067209,tank_level_pre_rinse_last_five_mean,-0.031210467101707495,-0.010586257759673368,
False,2.2415455433026907,1288750.8940185448,tank_level_caustic_min,-0.043329146401324126,-0.02246256347329756,
False,2.1665782709033166,1511985.0762302699,tank_level_caustic_max,-0.025566094294030783,-0.005054772408150221,
False,2.222982044293859,1436734.8477135831,tank_level_caustic_mean,-0.03279123234078929,-0.012135407693973477,
False,2.114663245405915,1174896.725516555,tank_level_caustic_std,-0.036303594862206356,-0.015577522964962176,
False,2.246477961838451,1466118.9007016886,tank_level_caustic_last_five_mean,-0.03777313641536861,-0.017017673687061308,
False,2.1464273015847395,1310617.8340749769,tank_level_acid_min,-0.029786562570154995,-0.009190831318751869,
False,2.196628866315512,1499892.1395007619,tank_level_acid_max,-0.0272298363994532,-0.0066852396714640605,
False,2.153525026974179,1485121.6555722747,tank_level_acid_mean,-0.025816324164251725,-0.005299997680966673,
False,2.2350200257552877,1307483.3799475753,tank_level_acid_std,-0.03586158328699818,-0.015144351621258156,
False,2.1452848029458256,1389984.4923180542,tank_level_acid_last_five_mean,-0.026426496104435593,-0.0058979661823468366,
False,2.193970414603156,1476476.660841126,tank_level_clean_water_min,-0.032160418708427674,-0.01151721033425912,
False,2.171047417037943,1504284.3113294027,tank_level_clean_water_max,-0.028057821580009135,-0.007496665148408965,
False,2.1780211702706684,1475652.239411828,tank_level_clean_water_mean,-0.029668034522879028,-0.009074673832421443,
False,2.2072724156999417,1432368.9820083054,tank_level_clean_water_std,-0.02675631081823493,-0.0062211846018702666,
False,2.1482437119433935,1405294.0786690447,tank_level_clean_water_last_five_mean,-0.03206125274551597,-0.011420027690605572,
False,2.188255450831519,1509587.225382669,tank_temperature_pre_rinse_min,-0.027388332865238008,-0.006840566207933163,
False,2.1705912925669812,1482417.4748305632,tank_temperature_pre_rinse_max,-0.025382030553815715,-0.004874389942739477,
False,2.178702886603414,1538802.1159508028,tank_temperature_pre_rinse_mean,-0.026556440278829863,-0.0060253114732531365,
False,2.3087497579709026,1463709.9910060123,tank_temperature_pre_rinse_std,-0.03430625694276612,-0.013620131803910862,
False,2.1628264557143235,1474636.8618689235,tank_temperature_pre_rinse_last_five_mean,-0.024940604831750868,-0.0044417927351159125,
False,2.1756719331566914,1497651.8035963224,tank_temperature_caustic_min,-0.026041679699817966,-0.005520846105821597,
False,2.2213135046891157,1502977.0758400764,tank_temperature_caustic_max,-0.025674511547470802,-0.005161021316521408,
False,2.1765939411788557,1531998.8962658048,tank_temperature_caustic_mean,-0.026468273472954884,-0.005938908003495724,
False,2.175498223971271,1526111.775699039,tank_temperature_caustic_std,-0.026316287021072915,-0.005789961280651346,
False,2.164131459038971,1498289.7171376953,tank_temperature_caustic_last_five_mean,-0.03067403842179628,-0.010060557653360336,
False,2.123218315247543,1491164.2312728637,tank_temperature_acid_min,-0.04145906713547798,-0.020629885792768476,
False,2.181886789578905,1520400.181148583,tank_temperature_acid_max,-0.029649704144375955,-0.009056710061488449,
False,2.1291376402166096,1465830.4067558318,tank_temperature_acid_mean,-0.026240413323157075,-0.005715605056693995,
False,2.171818192843831,1506726.5124254944,tank_temperature_acid_std,-0.02828580340220488,-0.007720087334160741,
False,2.141117529063798,1466256.985173475,tank_temperature_acid_last_five_mean,-0.027716357855610108,-0.0071620306984978566,
False,2.165656223879189,1483836.8827075842,tank_concentration_caustic_min,-0.02741179523343984,-0.0068635593287709185,
False,2.180027796724057,1495583.8536987756,tank_concentration_caustic_max,-0.027101887329835206,-0.0065598495832384085,
False,2.178380399679442,1539987.6277620462,tank_concentration_caustic_mean,-0.02597240882059948,-0.005452960644187543,
False,2.1800062109568037,1495106.2380593885,tank_concentration_caustic_std,-0.026283440548639847,-0.005757771737667117,
False,2.1752847351457403,1530712.3557970384,tank_concentration_caustic_last_five_mean,-0.02633590673614039,-0.0058091886014175476,
False,2.1709277421989235,1467195.5995008182,tank_concentration_acid_min,-0.0313140256834461,-0.010687745169777108,
False,2.1456785779436123,1469824.6991697443,tank_concentration_acid_max,-0.02314570731312604,-0.002682793166863595,
False,2.1951119697312094,1510524.0441140267,tank_concentration_acid_mean,-0.027983388724737823,-0.007423720950243018,
False,2.1891549376186803,1459034.371622058,tank_concentration_acid_std,-0.0308390251864461,-0.010222244682717152,
False,2.144964408549889,1469491.5349235209,tank_concentration_acid_last_five_mean,-0.02404672473887337,-0.0035657902440959788,
False,2.0375352031957252,1419319.420297375,turbidity_in_liters_min,-0.030225067813866024,-0.009620566457588575,
False,2.074611593219031,1216350.3600330197,turbidity_in_liters_max,-0.04573136501385733,-0.024816737713580173,
False,2.1526153532270498,1493156.6199588093,turbidity_in_liters_mean,-0.02777906171308908,-0.007223480478827371,
False,1.967937590265799,1382380.7549522438,turbidity_in_liters_std,-0.04213029517850653,-0.021287689274936294,
False,2.1577658925845395,1305816.0908587202,turbidity_in_liters_last_five_mean,-0.07396288683383578,-0.05248362909715909,
False,2.230605481818594,1521081.5437002713,num_phases_1,-0.02522473649795698,-0.004720241767997901,
False,2.1373041599273157,1466159.7332709339,num_phases_2,-0.03104570212530655,-0.01042478808280034,
False,2.1809470784068155,1536795.635367609,num_phases_3,-0.02612712248191351,-0.005604580032275264,
